[description:"Train autotickets" due:"1623963600" end:"1624017233" entry:"1623918792" imask:"13" modified:"1624017233" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"32995b32-3594-458e-b75e-f6cdb6a98d7b"]
[description:"Pebble meditation" due:"1623877200" end:"1624009755" entry:"1623838696" imask:"18" modified:"1624009755" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"f598a7c7-04d8-47da-a41c-57e2c2b6a32e"]
[description:"Pebble meditation" due:"1623963600" end:"1624009755" entry:"1623918792" imask:"19" modified:"1624009755" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"6519d534-1f42-4d94-aab1-2d481c12f80a"]
[description:"Train typing" due:"1624050000" end:"1624009193" entry:"1624007911" imask:"20" modified:"1624009193" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"2fa52b23-78d3-46eb-a0cc-27cceed5147a"]
[description:"Pebble meditation" due:"1623790800" end:"1624008829" entry:"1623738421" imask:"17" modified:"1624008829" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"9dbb715a-fd43-4bc3-9f1a-4b70e090422e"]
[description:"Train autotickets" due:"1623790800" end:"1623919701" entry:"1623738421" imask:"11" modified:"1623919701" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"e5ba95ee-8544-4716-9da1-75ba9dd834d9"]
[description:"Train typing" due:"1623963600" end:"1623919195" entry:"1623918792" imask:"19" modified:"1623919195" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"188fefc2-d6c0-48e2-91df-14b12274d9c3"]
[description:"Train typing" due:"1623877200" end:"1623918795" entry:"1623838696" imask:"18" modified:"1623918795" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"09edb947-3258-4b47-b134-f8bc1ad30e42"]
[description:"Distr lecture" due:"1623877200" end:"1623873849" entry:"1623838696" imask:"10" modified:"1623873849" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"deleted" until:"1623853725" uuid:"924ed8c9-7018-4311-b281-8196dd33b41c"]
[description:"Distr lecture" due:"1623790800" end:"1623838704" entry:"1623738421" imask:"9" modified:"1623838704" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"c3a84cf4-5124-42c1-a50c-b59164e86199"]
